Type,Tag (user),Tag (area),Tag (sub-area),Section,Title,Preconditions (Given),Steps (When),Expected Result (Then),Automation,Priority,Estimate,Created By
Functional,@user-anon ,@page-landing,@page-landing-104,User - Anonymous - Page - Landing,Table - Result - Title Line - site - redirect,Anonymous User on Page - Landing,Click site - url,Url should include https://news.ycombinator.com/from?site=<site>,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-105,User - Anonymous - Page - Landing,Table - Result - Sub-line - score,Anonymous User on Page - Landing,See score - number,Should display current score of item,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-106,User - Anonymous - Page - Landing,Table - Result - Sub-line - user - redirect,Anonymous User on Page - Landing,Click user - user id,Url should include https://news.ycombinator.com/user?id=<user-id>,UI - Cypress,Medium,60s,Alex Peace
[tech-debt],@user-anon ,@page-landing,@page-landing-107,User - Anonymous - Page - Landing,Table - Result - Sub-line - age,Anonymous User on Page - Landing,See age,Should display timestamp of item,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-108,User - Anonymous - Page - Landing,Table - Result - Sub-line - age - redirect,Anonymous User on Page - Landing,Click age,Url should include https://news.ycombinator.com/item?id=<item-id>,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-109,User - Anonymous - Page - Landing,Table - Result - Sub-line - hide - redirect,Anonymous User on Page - Landing,Click hide,Url should include https://news.ycombinator.com/hide?id=<item-id>&goto=news,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-110,User - Anonymous - Page - Landing,Table - Result - Sub-line - comments,Anonymous User on Page - Landing,See comments,Should display current comment count of item,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-111,User - Anonymous - Page - Landing,Table - Result - Sub-line - comments - redirect,Anonymous User on Page - Landing,Click comments,Url should include https://news.ycombinator.com/item?id=<item-id>,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-113,User - Anonymous - Page - Landing,Table - More,Anonymous User on Page - Landing,"Click ""More""",Url should include https://news.ycombinator.com/?p=2,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-201,User - Anonymous - Page - Landing,Footer - Announcement,Anonymous User on Page - Landing,See announcement,Should display current announcement,UI - Cypress,Medium,60s,Alex Peace
[tech-debt],@user-anon ,@page-landing,@page-landing-202,User - Anonymous - Page - Landing,Footer - Announcement - redirect,Anonymous User on Page - Landing,Click announcment,Url should include https://www.ycombinator.com/apply/,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-203,User - Anonymous - Page - Landing,Footer - Guidlines - redirect,Anonymous User on Page - Landing,"Click ""Guidelines""",Url should include https://news.ycombinator.com/newsguidelines.html,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-204,User - Anonymous - Page - Landing,Footer - FAQ - redirect,Anonymous User on Page - Landing,"Click ""FAQ""",Url should include https://news.ycombinator.com/newsfaq.html,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-205,User - Anonymous - Page - Landing,Footer - Lists - redirect,Anonymous User on Page - Landing,"Click ""Lists""",Url should include https://news.ycombinator.com/lists,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-206,User - Anonymous - Page - Landing,Footer - API - redirect,Anonymous User on Page - Landing,"Click ""API""",Url should include https://github.com/HackerNews/API,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-207,User - Anonymous - Page - Landing,Footer - Security - redirect,Anonymous User on Page - Landing,"Click ""Security""",Url should include https://news.ycombinator.com/security.html,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-208,User - Anonymous - Page - Landing,Footer - Legal - redirect,Anonymous User on Page - Landing,"Click ""Legal""",Url should include https://www.ycombinator.com/legal/,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-209,User - Anonymous - Page - Landing,Footer - Apply to YC - redirect,Anonymous User on Page - Landing,"Click ""Apply to YC""",Url should include https://www.ycombinator.com/apply/,UI - Cypress,Medium,60s,Alex Peace
[tech-debt],@user-anon ,@page-landing,@page-landing-210,User - Anonymous - Page - Landing,Footer - Contact - redirect,Anonymous User on Page - Landing,"Click ""Contact""",Url should include hn@ycombinator.com,UI - Cypress,Medium,60s,Alex Peace
Functional,@user-anon ,@page-landing,@page-landing-211,User - Anonymous - Page - Landing,Footer - Search - input,Anonymous User on Page - Landing,Input search term and press key 'Enter',Url should include https://hn.algolia.com/?q=<search-term>,UI - Cypress,Medium,60s,Alex Peace
