Type,Tag (user),Tag (area),Tag (sub-area),Section,Title,Preconditions (Given),Steps (When),Expected Result (Then),Automation,Priority,Estimate (Manual),Created By
Functional,@user-basic,@api-items-job,@api-items-job-005,API - Items - Job,GET - Job - time,Seed Testdata Job,GET /v0/item/<item-id>.json,{number} Should be correct timestamp ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-006,API - Items - Job,GET - Job - title,Seed Testdata Job,GET /v0/item/<item-id>.json,{string} Should be correct title ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-007,API - Items - Job,GET - Job - type,Seed Testdata Job,GET /v0/item/<item-id>.json,"{string} Should be type ""job""",API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-job,@api-items-job-008,API - Items - Job,GET - Job - url,Seed Testdata Job,GET /v0/item/<item-id>.json,{string} Should be correct url ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-001,API - Items - Poll,GET - Poll - by,Seed Testdata Poll,GET /v0/item/<item-id>.json,{string} Should be correct userid,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-002,API - Items - Poll,GET - Poll - descendants,Seed Testdata Poll,GET /v0/item/<item-id>.json,{number} Should be correct descendants count,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-003,API - Items - Poll,GET - Poll - id,Seed Testdata Poll,GET /v0/item/<item-id>.json,{number} Should be correct id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-004,API - Items - Poll,GET - Poll - kids,Seed Testdata Poll,GET /v0/item/<item-id>.json,{Array<number}>} Should be correct kids array ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-005,API - Items - Poll,GET - Poll - parts,Seed Testdata Poll,GET /v0/item/<item-id>.json,{Array<number}>} Should be correct parts array,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-006,API - Items - Poll,GET - Poll - score,Seed Testdata Poll,GET /v0/item/<item-id>.json,{number} Should be correct current score,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-007,API - Items - Poll,GET - Poll - text,Seed Testdata Poll,GET /v0/item/<item-id>.json,{string} Should be correct text,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-008,API - Items - Poll,GET - Poll - time,Seed Testdata Poll,GET /v0/item/<item-id>.json,{number} Should be correct timestamp ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-009,API - Items - Poll,GET - Poll - title,Seed Testdata Poll,GET /v0/item/<item-id>.json,{string} Should be correct title ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-poll,@api-items-poll-010,API - Items - Poll,GET - Poll - type,Seed Testdata Poll,GET /v0/item/<item-id>.json,"{string }Should be type ""poll""",API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-001,API - Items - Pollopt,GET - Pollopt - by,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,{string} Should be correct userid,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-002,API - Items - Pollopt,GET - Pollopt - id,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,{number} Should be correct id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-003,API - Items - Pollopt,GET - Pollopt - poll,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,{number} Should be correct poll id,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-004,API - Items - Pollopt,GET - Pollopt - score,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,{number} Should be correct current score,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-005,API - Items - Pollopt,GET - Pollopt - text,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,{string} Should be correct text,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-006,API - Items - Pollopt,GET - Pollopt - time,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,{number} Should be correct timestamp ,API - Cypress,Medium,60s,Alex Peace
Functional,@user-basic,@api-items-pollopt,@api-items-pollopt-007,API - Items - Pollopt,GET - Pollopt - type,Seed Testdata Pollopt,GET /v0/item/<item-id>.json,"{string }Should be type ""pollopt""",API - Cypress,Medium,60s,Alex Peace
